Set,Sentence1,Sentence2,Label,id,predicted,error_type
train,"( CNN ) Polls taken since the Roe v Wade decision routinely show women in favor of abortion restrictions , and in slightly greater numbers than men .",abortion,CON,2160,PRO,flipped
test,"Yet , they ’ll not only stand by and watch one of their buddies illegally stomp your face into the pavement , but they ’ll tazer you while he does it .",gun control,NEU,12607,NEU,correct
train,"We desperately need leaders with courage who are willing to stand on principal and common sense , AND , willingly risk being voted out .",nuclear energy,NEU,18938,PRO,polarized
train,"If so , might abortion restrictions reflect traditional sex-role stereotypes about sex , caregiving , or decision-making around motherhood ?",abortion,PRO,2931,NEU,neutralized
train,"Nuclear weapons were first developed in the United States in 1945 , the Soviet Union in 1949 , Britain in 1952 , France in 1960 and China in 1964 .",nuclear energy,NEU,20775,NEU,correct
train,Pro-abortion people insist that the fetus is nothing but a worthless blob of tissue .,abortion,CON,1159,NEU,neutralized
dev,"Again , this debate is about just one question : What is the unborn ?",abortion,NEU,2046,CON,polarized
train,Sports teams wear uniforms .,school uniforms,PRO,22532,PRO,correct
train,Everyone should be given a second chance to correct himself .,death penalty,CON,9167,NEU,neutralized
train,"The Advisory Council on the Misuse of Drugs ( ACMD ) recommended a ban on 29 March , which was quickly passed into law , but the decision was criticised for being politically rather than scientifically driven and led to the resignation of the ACMD 's Eric Carlin , the eighth member of the council to leave in five months in protest at what was seen as political interference .",marijuana legalization,CON,15717,NEU,neutralized
train,"Of course , selecting the genome of a child is not a fully reliable way of determining the child ’s biological traits or properties , but it represents an unprecedented level of control : by creating a child with only one genetic parent , cloning allows for exact determination of a child ’s lineage .",cloning,PRO,4241,NEU,neutralized
test,All levels of government provide widespread corporate welfare so why not provide some help to low wage workers ?,minimum wage,PRO,18462,PRO,correct
dev,A more recent poll now suggest that 45 % of Argentineans are in favor of abortion for any reason in the first twelve weeks .,abortion,PRO,3556,PRO,correct
train,Cloning does not necessarily entail the creation of “ designer ” children because cloning recreates a pre-existing DNA ; it does not involve modifying or enhancing DNA in order to produce a child with certain desired traits .,cloning,PRO,5055,NEU,neutralized
train,"To adjust for increased rates of worker productivity in the United States , raising the minimum wage to $ 22 ( or more ) an hour has been presented .",minimum wage,PRO,18711,NEU,neutralized
train,"Early estimates show there could be as many as 2,000 of them .",marijuana legalization,NEU,14166,CON,polarized
train,Murder Victims ' Families for Reconciliation MVFR members have lost family members to murder or execution and oppose the death penalty .,death penalty,CON,9148,PRO,flipped
train,""" If you 're proposing a new generation of nuclear power plants , you 'll need somewhere to put the waste . """,nuclear energy,CON,22208,NEU,neutralized
train,Some critics have argued that this approach to the ethics of human cloning amounts to unwarranted speculation .,cloning,NEU,5777,NEU,correct
test,Cannabis is less harmful than alcohol or tobacco .,marijuana legalization,PRO,14264,PRO,correct
train,"If there were a different kind of system of death penalty administration in this country , or even a reasonable possibility that one might emerge , we could debate its implications .",death penalty,NEU,7004,PRO,polarized
train,If the industry does not pay the total costs of disposing of nuclear waste and ensuring it is safe for thousand of years then this is a subsidy .,nuclear energy,CON,21758,CON,correct
train,"A study of the death penalty in Texas shows that the current capital punishment system is an outgrowth of the racist "" legacy of slavery . """,death penalty,CON,10484,CON,correct
train,I have to agree with person 39 .,cloning,NEU,4509,CON,polarized
train,"The results are consistent with other polls that do not give a choice of sentences such as life without parole , which lowers the support rate for death sentences dramatically .",death penalty,CON,10171,CON,correct
dev,You might end up on death row .,death penalty,CON,8211,PRO,flipped
train,"Even if a “ good guy with a gun ” is the solution to a violent situation , then there is no reason why this person should be an untrained vigilante rather than a law enforcement professional .",gun control,PRO,11627,NEU,neutralized
train,"According to the school district data , within one year after the implementation of uniforms , the fights and muggings at school decreased by 50 % , while sexual offenses were reduced by 74 % .",school uniforms,PRO,25079,PRO,correct
train,"However , there is no evidence that identical multiples feel this way , and there does not seem to be anything inherent about sharing a genetic code that compromises individuality ( Elliot , 1998 ) .",cloning,PRO,4183,CON,flipped
